lid,lat,lon,rfc,minor,moderate,major,code,date_produced
TIFM7,36.631390,94.586670,ABRFC,0.121900,0.050000,0.050000,1,1/26/2023
TLSO2,36.140556,96.006111,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
TODA4,35.077222,92.539722,ABRFC,0.136500,0.050000,0.050000,1,1/26/2023
TONO2,36.671979,97.309489,ABRFC,0.055400,0.050000,0.050000,1,1/26/2023
TOWK1,37.796110,97.014160,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
TRLO2,33.878711,97.934480,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
TUCO2,35.324167,97.723611,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
TYLN5,36.297500,104.495556,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
VBRA4,35.483889,94.392778,ABRFC,0.032000,0.050000,0.050000,1,7/9/2015
VBUA4,35.431389,94.356111,ABRFC,0.162400,0.050000,0.050000,1,1/26/2023
VERT2,34.179583,99.323333,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
WAKO2,34.162778,98.008056,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
WANO2,36.517256,98.879537,ABRFC,0.058400,0.050000,0.050000,1,1/26/2023
WATO2,35.811989,98.420905,ABRFC,0.088900,0.050000,0.050000,1,1/26/2023
WAYT2,34.837500,101.413611,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
WCOM7,37.245556,94.566390,ABRFC,0.130100,0.050000,0.050000,1,1/26/2023
WDGO2,36.436703,99.278438,ABRFC,0.063800,0.050000,0.050000,1,1/26/2023
WDWO2,36.446100,99.390800,ABRFC,0.050000,0.050000,0.050000,1,4/16/2013
WELK1,37.249440,97.403300,ABRFC,0.304200,0.072100,0.050000,1,1/26/2023
WETO2,35.265645,96.206117,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
WFDK1,37.223880,96.995830,ABRFC,0.077500,0.050000,0.050000,1,1/26/2023
WICT2,33.909542,98.533666,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
WLGT2,34.957500,100.220556,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
WLTO2,34.362307,98.282547,ABRFC,0.183000,0.178000,0.143800,1,1/26/2023
WSVC2,38.502775,105.939733,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
WTTO2,36.130000,94.571944,ABRFC,0.435500,0.266000,0.050000,1,1/26/2023
YUKO2,35.539499,97.742544,ABRFC,0.063200,0.050000,0.050000,1,1/26/2023
ZENK1,38.093600,98.546100,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
